PeakN Before Tidy	Blacklisted Peaks Removed (%)	Non-standard Peaks Removed (%)	PeakN After Tidy
28083	2.48	1.91	26854
39607	1.29	0.836	38766
5737	10.3	5.56	4831
197469	0.447	0.425	195749
15973	4.45	2.59	14851
33480	2.34	1.13	32323
7353	6.88	3.1	6620
23328	2.55	1.89	22293
4576	3.54	2.12	4318
6522	4.94	2.61	6031
11122	3.7	2.71	10410
5876	2.42	1.46	5649
4095	5.62	2.59	3760
65725	0.672	0.587	64898
4157	5.39	2.86	3815
9412	4.24	2.89	8742
6706	1.54	0.925	6542
7355	3.3	1.77	6983
74196	0.721	0.609	73210
6509	3.83	2.17	6120
8273	2.04	1.35	7993
6340	2.02	0.994	6150
6285	5.74	2.77	5751
78009	0.356	0.417	77407
7123	3.8	1.95	6714
8315	1.79	1.15	8071
4713	1.95	0.912	4579
4072	7.42	3.56	3626
69593	0.54	0.457	68900
3987	9.18	4.77	3432
61464	0.236	0.0195	61319
116419	0.312	0.0103	116056
77999	0.333	0.0154	77739
68776	0.318	0.0174	68557
42087	0.152	0.0285	42023
121514	0.238	0.00988	121225
103900	0.236	0.0115	103655
76027	0.241	0.0158	75844
88978	0.249	0.0135	88756
69386	0.262	0.0173	69204
83023	0.257	0.0145	82810
73454	0.317	0.0163	73221
66575	0.424	0.018	66293
66193	0.224	0.0181	66045
79191	0.516	0.0152	78782
86061	0.464	0.0139	85662
81669	0.307	0.0147	81418
79023	0.248	0.0152	78827
